KO	FunkFam	CS	Pathway	Description	KODescription	KOCount	FunkFamCount
K02095	5_115065	Low	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	298
K02095	5_115065	Low	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	298
K02707	5_115065	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	298
K02707	5_115065	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	298
K08902	5_115065	Low	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	298
K08903	5_115065	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	298
K02092	5_117088	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	287
K02092	5_117088	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	287
K02093	5_117088	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	287
K02093	5_117088	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	287
K02094	5_117088	High	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	287
K02094	5_117088	High	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	287
K02095	5_117088	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	287
K02095	5_117088	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	287
K02097	5_117088	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	287
K02097	5_117088	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	287
K02290	5_117088	High	map00196	Photosynthesis - antenna proteins	cpcG; phycobilisome rod-core linker protein	332	287
K02290	5_117088	High	map01100	Metabolic pathways	cpcG; phycobilisome rod-core linker protein	332	287
K02629	5_117088	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	287
K02629	5_117088	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	287
K02716	5_117088	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	287
K02717	5_117088	High	map00195	Photosynthesis	psbP; photosystem II oxygen-evolving enhancer protein 2	372	287
K02719	5_117088	High	map00195	Photosynthesis	psbU; photosystem II PsbU protein	337	287
K08903	5_117088	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	287
K03418	5_118531	Low	map00630	Glyoxylate and dicarboxylate metabolism	E3.5.1.56; N,N-dimethylformamidase [EC:3.5.1.56]	596	194
K06989	5_119264	Low	map00760	Nicotinate and nicotinamide metabolism	nadX, ASPDH; aspartate dehydrogenase [EC:1.4.1.21]	2287	706
K06989	5_119264	Low	map01100	Metabolic pathways	nadX, ASPDH; aspartate dehydrogenase [EC:1.4.1.21]	2287	706
K02634	5_120799	Low	map00195	Photosynthesis	petA; apocytochrome f	402	200
K02634	5_120799	Low	map01100	Metabolic pathways	petA; apocytochrome f	402	200
K02692	5_120799	Low	map00195	Photosynthesis	psaD; photosystem I subunit II	401	200
K02692	5_120799	Low	map01100	Metabolic pathways	psaD; photosystem I subunit II	401	200
K11326	5_121084	Low	map02020	Two-component system	nrsA, czcA; cation efflux system protein involved in nickel and cobalt tolerance	2197	329
K01458	5_123309	Low	map00340	Histidine metabolism	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	302
K01458	5_123309	Low	map00630	Glyoxylate and dicarboxylate metabolism	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	302
K01458	5_123309	Low	map01100	Metabolic pathways	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	302
K03205	5_123309	Low	map03070	Bacterial secretion system	virD4, lvhD4; type IV secretion system protein VirD4 [EC:7.4.2.8]	5455	302
K09882	5_123309	Low	map00860	Porphyrin and chlorophyll metabolism	cobS; cobaltochelatase CobS [EC:6.6.1.2]	3685	302
K09882	5_123309	Low	map01100	Metabolic pathways	cobS; cobaltochelatase CobS [EC:6.6.1.2]	3685	302
K13581	5_123309	Low	map04112	Cell cycle - Caulobacter	ccrM; modification methylase [EC:2.1.1.72]	4959	302
K13587	5_123309	Low	map02020	Two-component system	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	5194	302
K13587	5_123309	Low	map04112	Cell cycle - Caulobacter	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	5194	302
K18649	5_123309	Low	map00053	Ascorbate and aldarate metabolism	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	302
K18649	5_123309	Low	map00340	Histidine metabolism	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	302
K18649	5_123309	Low	map00562	Inositol phosphate metabolism	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	302
K18649	5_123309	Low	map01100	Metabolic pathways	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	302
K18649	5_123309	Low	map01110	Biosynthesis of secondary metabolites	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	302
K18649	5_123309	Low	map01130	Biosynthesis of antibiotics	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	302
K18649	5_123309	Low	map01230	Biosynthesis of amino acids	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	302
K18649	5_123309	Low	map04070	Phosphatidylinositol signaling system	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	302
K20266	5_123309	Low	map02024	Quorum sensing	trbJ; type IV secretion system protein TrbJ	1828	302
K20527	5_123309	Low	map02024	Quorum sensing	trbB; type IV secretion system protein TrbB [EC:7.4.2.8]	1731	302
K20528	5_123309	Low	map02024	Quorum sensing	trbC; type IV secretion system protein TrbC	1721	302
K20529	5_123309	Low	map02024	Quorum sensing	trbD; type IV secretion system protein TrbD	1698	302
K20530	5_123309	Low	map02024	Quorum sensing	trbE; type IV secretion system protein TrbE [EC:7.4.2.8]	1806	302
K20531	5_123309	Low	map02024	Quorum sensing	trbF; type IV secretion system protein TrbF	1800	302
K20532	5_123309	Low	map02024	Quorum sensing	trbG; type IV secretion system protein TrbG	2241	302
K20533	5_123309	Low	map02024	Quorum sensing	trbI; type IV secretion system protein TrbI	1923	302
K02093	5_123472	Low	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	267
K02093	5_123472	Low	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	267
K02097	5_123472	Low	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	267
K02097	5_123472	Low	map01100	Metabolic pathways	apcF; phycobilisome core component	334	267
K02287	5_123472	Low	map00196	Photosynthesis - antenna proteins	cpcD; phycocyanin-associated, rod	251	267
K02287	5_123472	Low	map01100	Metabolic pathways	cpcD; phycocyanin-associated, rod	251	267
K08904	5_123472	Low	map00195	Photosynthesis	psb28-2; photosystem II Psb28-2 protein	163	267
K09834	5_123472	Low	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	267
K09834	5_123472	Low	map01100	Metabolic pathways	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	267
K09834	5_123472	Low	map01110	Biosynthesis of secondary metabolites	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	267
K11522	5_123472	High	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	267
K11524	5_123472	Low	map02020	Two-component system	pixI; positive phototaxis protein PixI	209	267
K11525	5_123472	High	map02020	Two-component system	pixJ; methyl-accepting chemotaxis protein PixJ	213	267
K11526	5_123472	High	map02020	Two-component system	pixL; two-component system, chemotaxis family, sensor histidine kinase and response regulator PixL	217	267
K02092	5_128922	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	268
K02092	5_128922	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	268
K02093	5_128922	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	268
K02093	5_128922	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	268
K02097	5_128922	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	268
K02097	5_128922	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	268
K11522	5_128922	High	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	268
K14028	5_131245	Low	map00010	Glycolysis / Gluconeogenesis	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	458
K14028	5_131245	Low	map00625	Chloroalkane and chloroalkene degradation	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	458
K14028	5_131245	Low	map00680	Methane metabolism	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	458
K14028	5_131245	Low	map01100	Metabolic pathways	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	458
K14028	5_131245	Low	map01110	Biosynthesis of secondary metabolites	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	458
K14028	5_131245	Low	map01120	Microbial metabolism in diverse environments	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	458
K14028	5_131245	Low	map01130	Biosynthesis of antibiotics	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	458
K14028	5_131245	Low	map01200	Carbon metabolism	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	458
K16254	5_131245	Low	map00680	Methane metabolism	mxaJ; mxaJ protein	947	458
K16254	5_131245	Low	map01120	Microbial metabolism in diverse environments	mxaJ; mxaJ protein	947	458
K01612	5_132017	High	map00627	Aminobenzoate degradation	bsdC; vanillate/4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.- 4.1.1.61]	976	495
K01612	5_132017	High	map01120	Microbial metabolism in diverse environments	bsdC; vanillate/4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.- 4.1.1.61]	976	495
K01612	5_132017	High	map01220	Degradation of aromatic compounds	bsdC; vanillate/4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.- 4.1.1.61]	976	495
K21759	5_132017	Very high	map00627	Aminobenzoate degradation	bsdD; vanillate/4-hydroxybenzoate decarboxylase subunit D [EC:4.1.1.- 4.1.1.61]	543	495
K21759	5_132017	Very high	map01120	Microbial metabolism in diverse environments	bsdD; vanillate/4-hydroxybenzoate decarboxylase subunit D [EC:4.1.1.- 4.1.1.61]	543	495
K21759	5_132017	Very high	map01220	Degradation of aromatic compounds	bsdD; vanillate/4-hydroxybenzoate decarboxylase subunit D [EC:4.1.1.- 4.1.1.61]	543	495
K02092	5_139253	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	146
K02092	5_139253	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	146
K02095	5_139253	Low	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	146
K02095	5_139253	Low	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	146
K02720	5_139253	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	146
K16256	5_146945	Low	map00680	Methane metabolism	mxaA; mxaA protein	375	425
K16256	5_146945	Low	map01120	Microbial metabolism in diverse environments	mxaA; mxaA protein	375	425
K16257	5_146945	High	map00680	Methane metabolism	mxaC; mxaC protein	390	425
K16257	5_146945	High	map01120	Microbial metabolism in diverse environments	mxaC; mxaC protein	390	425
K16258	5_146945	High	map00680	Methane metabolism	mxaK; mxaK protein	374	425
K16258	5_146945	High	map01120	Microbial metabolism in diverse environments	mxaK; mxaK protein	374	425
K16259	5_146945	High	map00680	Methane metabolism	mxaL; mxaL protein	390	425
K16259	5_146945	High	map01120	Microbial metabolism in diverse environments	mxaL; mxaL protein	390	425
K11912	5_152673	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	ppkA; serine/threonine-protein kinase PpkA [EC:2.7.11.1]	932	280
K11912	5_152673	Low	map03070	Bacterial secretion system	ppkA; serine/threonine-protein kinase PpkA [EC:2.7.11.1]	932	280
K00643	5_155637	Low	map00260	Glycine, serine and threonine metabolism	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	344
K00643	5_155637	Low	map00860	Porphyrin and chlorophyll metabolism	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	344
K00643	5_155637	Low	map01100	Metabolic pathways	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	344
K00643	5_155637	Low	map01110	Biosynthesis of secondary metabolites	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	344
K01458	5_155637	Low	map00340	Histidine metabolism	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	344
K01458	5_155637	Low	map00630	Glyoxylate and dicarboxylate metabolism	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	344
K01458	5_155637	Low	map01100	Metabolic pathways	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	344
K03205	5_155637	Low	map03070	Bacterial secretion system	virD4, lvhD4; type IV secretion system protein VirD4 [EC:7.4.2.8]	5455	344
K09882	5_155637	Low	map00860	Porphyrin and chlorophyll metabolism	cobS; cobaltochelatase CobS [EC:6.6.1.2]	3685	344
K09882	5_155637	Low	map01100	Metabolic pathways	cobS; cobaltochelatase CobS [EC:6.6.1.2]	3685	344
K13581	5_155637	Low	map04112	Cell cycle - Caulobacter	ccrM; modification methylase [EC:2.1.1.72]	4959	344
K13584	5_155637	Low	map02020	Two-component system	ctrA; two-component system, cell cycle response regulator CtrA	4037	344
K13584	5_155637	Low	map04112	Cell cycle - Caulobacter	ctrA; two-component system, cell cycle response regulator CtrA	4037	344
K13587	5_155637	Low	map02020	Two-component system	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	5194	344
K13587	5_155637	Low	map04112	Cell cycle - Caulobacter	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	5194	344
K18649	5_155637	Low	map00053	Ascorbate and aldarate metabolism	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	344
K18649	5_155637	Low	map00340	Histidine metabolism	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	344
K18649	5_155637	Low	map00562	Inositol phosphate metabolism	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	344
K18649	5_155637	Low	map01100	Metabolic pathways	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	344
K18649	5_155637	Low	map01110	Biosynthesis of secondary metabolites	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	344
K18649	5_155637	Low	map01130	Biosynthesis of antibiotics	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	344
K18649	5_155637	Low	map01230	Biosynthesis of amino acids	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	344
K18649	5_155637	Low	map04070	Phosphatidylinositol signaling system	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	344
K20266	5_155637	Low	map02024	Quorum sensing	trbJ; type IV secretion system protein TrbJ	1828	344
K20527	5_155637	Low	map02024	Quorum sensing	trbB; type IV secretion system protein TrbB [EC:7.4.2.8]	1731	344
K20528	5_155637	Low	map02024	Quorum sensing	trbC; type IV secretion system protein TrbC	1721	344
K20529	5_155637	Low	map02024	Quorum sensing	trbD; type IV secretion system protein TrbD	1698	344
K20530	5_155637	Low	map02024	Quorum sensing	trbE; type IV secretion system protein TrbE [EC:7.4.2.8]	1806	344
K20531	5_155637	Low	map02024	Quorum sensing	trbF; type IV secretion system protein TrbF	1800	344
K20532	5_155637	Low	map02024	Quorum sensing	trbG; type IV secretion system protein TrbG	2241	344
K20533	5_155637	Low	map02024	Quorum sensing	trbI; type IV secretion system protein TrbI	1923	344
K00575	5_158127	Low	map02020	Two-component system	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	13011	3360
K00575	5_158127	Low	map02030	Bacterial chemotaxis	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	13011	3360
K02556	5_158127	Low	map02020	Two-component system	motA; chemotaxis protein MotA	11382	3360
K02556	5_158127	Low	map02030	Bacterial chemotaxis	motA; chemotaxis protein MotA	11382	3360
K02556	5_158127	Low	map02040	Flagellar assembly	motA; chemotaxis protein MotA	11382	3360
K03406	5_158127	Low	map02020	Two-component system	mcp; methyl-accepting chemotaxis protein	10509	3360
K03406	5_158127	Low	map02030	Bacterial chemotaxis	mcp; methyl-accepting chemotaxis protein	10509	3360
K03407	5_158127	Low	map02020	Two-component system	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	11764	3360
K03407	5_158127	Low	map02030	Bacterial chemotaxis	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	11764	3360
K03408	5_158127	Low	map02020	Two-component system	cheW; purine-binding chemotaxis protein CheW	10727	3360
K03408	5_158127	Low	map02030	Bacterial chemotaxis	cheW; purine-binding chemotaxis protein CheW	10727	3360
K03412	5_158127	Low	map02020	Two-component system	cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	11369	3360
K03412	5_158127	Low	map02030	Bacterial chemotaxis	cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	11369	3360
K03205	5_16050	Low	map03070	Bacterial secretion system	virD4, lvhD4; type IV secretion system protein VirD4 [EC:7.4.2.8]	5455	560
K20266	5_16050	Low	map02024	Quorum sensing	trbJ; type IV secretion system protein TrbJ	1828	560
K20527	5_16050	Low	map02024	Quorum sensing	trbB; type IV secretion system protein TrbB [EC:7.4.2.8]	1731	560
K20528	5_16050	Low	map02024	Quorum sensing	trbC; type IV secretion system protein TrbC	1721	560
K20529	5_16050	Low	map02024	Quorum sensing	trbD; type IV secretion system protein TrbD	1698	560
K20530	5_16050	Low	map02024	Quorum sensing	trbE; type IV secretion system protein TrbE [EC:7.4.2.8]	1806	560
K20531	5_16050	Low	map02024	Quorum sensing	trbF; type IV secretion system protein TrbF	1800	560
K20532	5_16050	Low	map02024	Quorum sensing	trbG; type IV secretion system protein TrbG	2241	560
K20533	5_16050	Low	map02024	Quorum sensing	trbI; type IV secretion system protein TrbI	1923	560
K02628	5_160741	Low	map00196	Photosynthesis - antenna proteins	pecA; phycoerythrocyanin alpha chain	332	267
K02628	5_160741	Low	map01100	Metabolic pathways	pecA; phycoerythrocyanin alpha chain	332	267
K12541	5_165581	Low	map02010	ABC transporters	lapB; ATP-binding cassette, subfamily C, bacterial LapB	4020	1143
K11179	5_16608	Low	map04122	Sulfur relay system	tusE, dsrC; tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]	4541	322
K17285	5_167642	Low	map00920	Sulfur metabolism	SELENBP1; methanethiol oxidase [EC:1.8.3.4]	1241	797
K17285	5_167642	Low	map01100	Metabolic pathways	SELENBP1; methanethiol oxidase [EC:1.8.3.4]	1241	797
K02487	5_17222	Low	map02020	Two-component system	pilL; type IV pili sensor histidine kinase and response regulator	911	269
K06027	5_173020	Low	map04138	Autophagy - yeast	NSF, SEC18; vesicle-fusing ATPase [EC:3.6.4.6]	3339	447
K06027	5_173020	Low	map04721	Synaptic vesicle cycle	NSF, SEC18; vesicle-fusing ATPase [EC:3.6.4.6]	3339	447
K06027	5_173020	Low	map04727	GABAergic synapse	NSF, SEC18; vesicle-fusing ATPase [EC:3.6.4.6]	3339	447
K06027	5_173020	Low	map04962	Vasopressin-regulated water reabsorption	NSF, SEC18; vesicle-fusing ATPase [EC:3.6.4.6]	3339	447
K11892	5_173682	Low	map03070	Bacterial secretion system	impK, ompA, vasF, dotU; type VI secretion system protein ImpK	3641	535
K11893	5_173682	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	impJ, vasE; type VI secretion system protein ImpJ	3622	535
K11895	5_173682	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	impH, vasB; type VI secretion system protein ImpH	3598	535
K11900	5_173682	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	impC; type VI secretion system protein ImpC	3684	535
K11901	5_173682	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	impB; type VI secretion system protein ImpB	3675	535
K11902	5_173682	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	impA; type VI secretion system protein ImpA	2681	535
K11903	5_173682	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	hcp; type VI secretion system secreted protein Hcp	3823	535
K11903	5_173682	Low	map03070	Bacterial secretion system	hcp; type VI secretion system secreted protein Hcp	3823	535
K11904	5_173682	Low	map03070	Bacterial secretion system	vgrG; type VI secretion system secreted protein VgrG	3506	535
K11907	5_173682	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	vasG, clpV; type VI secretion system protein VasG	3396	535
K11907	5_173682	Low	map03070	Bacterial secretion system	vasG, clpV; type VI secretion system protein VasG	3396	535
K00643	5_174181	Low	map00260	Glycine, serine and threonine metabolism	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	334
K00643	5_174181	Low	map00860	Porphyrin and chlorophyll metabolism	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	334
K00643	5_174181	Low	map01100	Metabolic pathways	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	334
K00643	5_174181	Low	map01110	Biosynthesis of secondary metabolites	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	334
K01458	5_174181	Low	map00340	Histidine metabolism	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	334
K01458	5_174181	Low	map00630	Glyoxylate and dicarboxylate metabolism	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	334
K01458	5_174181	Low	map01100	Metabolic pathways	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	334
K03205	5_174181	Low	map03070	Bacterial secretion system	virD4, lvhD4; type IV secretion system protein VirD4 [EC:7.4.2.8]	5455	334
K09882	5_174181	Low	map00860	Porphyrin and chlorophyll metabolism	cobS; cobaltochelatase CobS [EC:6.6.1.2]	3685	334
K09882	5_174181	Low	map01100	Metabolic pathways	cobS; cobaltochelatase CobS [EC:6.6.1.2]	3685	334
K13581	5_174181	Low	map04112	Cell cycle - Caulobacter	ccrM; modification methylase [EC:2.1.1.72]	4959	334
K13584	5_174181	Low	map02020	Two-component system	ctrA; two-component system, cell cycle response regulator CtrA	4037	334
K13584	5_174181	Low	map04112	Cell cycle - Caulobacter	ctrA; two-component system, cell cycle response regulator CtrA	4037	334
K13587	5_174181	Low	map02020	Two-component system	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	5194	334
K13587	5_174181	Low	map04112	Cell cycle - Caulobacter	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	5194	334
